x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002362	0.232576	[]
4	4	0x60243330	12	0.000993	0.092165	[]
4	4	0x6024333c	52	0.000897	0.442448	[]
4	4	0x60243370	16	0.000939	0.129990	[]
4	4	0x6055464c	72	0.001080	0.508606	[]
4	4	0x60554694	12	0.000907	0.100924	[]
4	4	0x605546a0	6836	0.004985	10.462158	[]
4	4	0x60556154	12	0.000901	0.101598	[]
4	4	0x60556160	44	0.001023	0.328263	[]
4	4	0x6055618c	4800	0.003481	10.520963	[]
4	4	0x60557a9c	516	0.001221	3.223010	[]
4	4	0x60557cf8	4	0.001857	0.016436	[]
4	4	0x60557cfc	404	0.000955	3.228078	[]
4	4	0x60557e90	4	0.000865	0.035289	[]
4	4	0x60557ed0	24	0.000833	0.219829	[]
4	4	0x60557ee8	20	0.000843	0.181032	[]
