x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002864	0.191804	[]
4	4	0x60243330	12	0.001202	0.076165	[]
4	4	0x6024333c	17444	0.010744	12.386929	[]
4	4	0x60247760	12	0.000959	0.095457	[]
4	4	0x6024776c	64	0.000895	0.545596	[]
4	4	0x602785ac	1140	0.001895	4.589386	[]
4	4	0x60278a78	4	0.000913	0.033418	[]
4	4	0x60278a7c	936	0.001434	4.978682	[]
4	4	0x60278e44	4	0.000826	0.036929	[]
4	4	0x60278e48	4	0.000972	0.031405	[]
4	4	0x60278f74	24	0.001977	0.092601	[]
4	4	0x60278f8c	68	0.000906	0.572814	[]
5	4	0x602432e8	72	0.001146	0.479350	[]
5	4	0x60243330	12	0.000992	0.092274	[]
5	4	0x6024333c	17444	0.008776	15.165083	[]
5	4	0x60247760	12	0.000848	0.107919	[]
5	4	0x6024776c	64	0.000955	0.511138	[]
5	4	0x602785ac	1140	0.001568	5.546393	[]
5	4	0x60278a78	4	0.001315	0.023200	[]
5	4	0x60278a7c	936	0.001922	3.715504	[]
5	4	0x60278e44	4	0.001254	0.024329	[]
5	4	0x60278e48	4	0.001102	0.027698	[]
5	4	0x60278f74	24	0.001194	0.153407	[]
5	4	0x60278f8c	68	0.001408	0.368481	[]
5	5	0x602432e8	72	0.001240	0.442900	[]
5	5	0x60243330	12	0.000781	0.117174	[]
5	5	0x6024333c	17444	0.007246	18.367908	[]
5	5	0x60247760	12	0.000828	0.110554	[]
5	5	0x6024776c	64	0.000708	0.689475	[]
5	5	0x602785ac	1140	0.001258	6.911359	[]
5	5	0x60278a78	4	0.000733	0.041655	[]
5	5	0x60278a7c	936	0.001295	5.514513	[]
5	5	0x60278e44	4	0.000751	0.040658	[]
5	5	0x60278e48	4	0.000660	0.046242	[]
5	5	0x60278f74	24	0.000702	0.260654	[]
5	5	0x60278f8c	68	0.000658	0.788200	[]
4	5	0x602432e8	72	0.001012	0.542651	[]
4	5	0x60243330	12	0.000847	0.108036	[]
4	5	0x6024333c	17444	0.005322	25.007982	[]
4	5	0x60247760	12	0.000715	0.128009	[]
4	5	0x6024776c	64	0.000660	0.739945	[]
4	5	0x602785ac	1140	0.000834	10.430670	[]
4	5	0x60278a78	4	0.000594	0.051377	[]
4	5	0x60278a7c	936	0.000817	8.735574	[]
4	5	0x60278e44	4	0.000580	0.052640	[]
4	5	0x60278e48	4	0.000568	0.053697	[]
4	5	0x60278f74	24	0.000549	0.333791	[]
4	5	0x60278f8c	68	0.000569	0.911083	[]
3	4	0x602432e8	72	0.001575	0.348713	[]
3	4	0x60243330	12	0.000811	0.112908	[]
3	4	0x6024333c	17444	0.004972	26.764935	[]
3	4	0x60247760	12	0.000786	0.116535	[]
3	4	0x6024776c	64	0.000678	0.719786	[]
3	4	0x6027695c	1140	0.000851	10.214987	[]
3	4	0x60276e28	4	0.000681	0.044788	[]
3	4	0x60276e2c	936	0.000779	9.168651	[]
3	4	0x602771f4	4	0.000602	0.050671	[]
3	4	0x602771f8	4	0.000583	0.052350	[]
3	4	0x60277324	24	0.000631	0.290020	[]
3	4	0x6027733c	68	0.000563	0.921837	[]
3	3	0x602432e8	72	0.000787	0.698020	[]
3	3	0x60243330	12	0.000624	0.146769	[]
3	3	0x6024333c	12004	0.003433	26.673950	[]
3	3	0x60246220	12	0.000663	0.138190	[]
3	3	0x6024622c	64	0.000748	0.652366	[]
3	3	0x6026ff7c	820	0.000803	7.790525	[]
3	3	0x60270308	4	0.000649	0.047027	[]
3	3	0x6027030c	936	0.000779	9.161451	[]
3	3	0x602706d4	4	0.000629	0.048520	[]
3	3	0x602706d8	4	0.000519	0.058770	[]
3	3	0x60270804	24	0.000523	0.349921	[]
3	3	0x6027081c	68	0.000648	0.800068	[]
4	3	0x602432e8	72	0.000719	0.764142	[]
4	3	0x60243330	12	0.000619	0.147805	[]
4	3	0x6024333c	3028	0.001259	18.354841	[]
4	3	0x60243f10	12	0.000576	0.159014	[]
4	3	0x60243f1c	64	0.000552	0.884186	[]
4	3	0x6025c28c	292	0.000902	2.471031	[]
4	3	0x6025c408	4	0.000636	0.047964	[]
4	3	0x6025c40c	936	0.000788	9.062154	[]
4	3	0x6025c7d4	4	0.000540	0.056539	[]
4	3	0x6025c7d8	4	0.000557	0.054805	[]
4	3	0x6025c904	24	0.000588	0.311531	[]
4	3	0x6025c91c	68	0.000600	0.863985	[]
6	4	0x602432e8	72	0.000707	0.777016	[]
6	4	0x60243330	12	0.000593	0.154448	[]
6	4	0x6024333c	52	0.000796	0.498176	[]
6	4	0x60243370	800	0.000891	6.848725	[]
6	4	0x60243690	16	0.000589	0.207257	[]
6	4	0x602436b8	4	0.000561	0.054431	[]
6	4	0x602436bc	12	0.000546	0.167570	[]
