x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002319	0.236921	[]
4	4	0x60243330	12	0.000910	0.100567	[]
4	4	0x6024333c	52	0.000840	0.472298	[]
4	4	0x60243370	16	0.000858	0.142256	[]
4	4	0x60451ed0	72	0.000958	0.573177	[]
4	4	0x60451f18	12	0.000933	0.098082	[]
4	4	0x60451f24	6836	0.004435	11.759754	[]
4	4	0x604539d8	12	0.000850	0.107702	[]
4	4	0x604539e4	40	0.000869	0.351092	[]
4	4	0x60453a0c	2000	0.001748	8.730438	[]
4	4	0x6045482c	516	0.000920	4.277124	[]
4	4	0x60454a88	4	0.000839	0.036371	[]
4	4	0x60454a8c	404	0.000918	3.356549	[]
4	4	0x60454c20	4	0.000824	0.037024	[]
4	4	0x60454c60	24	0.000836	0.219014	[]
4	4	0x60454c78	20	0.000790	0.193179	[]
