x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002631	0.208773	[]
4	4	0x60243330	12	0.001071	0.085463	[]
4	4	0x6024333c	6292	0.004865	9.867813	[]
4	4	0x60244bd0	12	0.001002	0.091345	[]
4	4	0x60244bdc	56	0.000943	0.453203	[]
4	4	0x60244fe4	484	0.001019	3.623057	[]
4	4	0x60245220	4	0.000912	0.033467	[]
4	4	0x60245224	376	0.000990	2.896306	[]
4	4	0x602453a8	4	0.000995	0.030657	[]
4	4	0x602453ac	4	0.001037	0.029418	[]
4	4	0x602453ec	24	0.000937	0.195465	[]
4	4	0x60245404	28	0.000915	0.233459	[]
5	4	0x602432e8	72	0.001009	0.544266	[]
5	4	0x60243330	12	0.000966	0.094789	[]
5	4	0x6024333c	1600	0.001751	6.973367	[]
5	4	0x6024397c	12	0.000842	0.108696	[]
5	4	0x60243988	56	0.000915	0.466750	[]
5	4	0x60243c50	212	0.000855	1.890906	[]
5	4	0x60243d7c	4	0.000943	0.032350	[]
5	4	0x60243d80	376	0.001117	2.568949	[]
5	4	0x60243f04	4	0.001600	0.019068	[]
5	4	0x60243f08	4	0.000913	0.033413	[]
5	4	0x60243f48	24	0.000902	0.203060	[]
5	4	0x60243f60	28	0.000913	0.233973	[]
5	5	0x602432e8	72	0.001632	0.336658	[]
5	5	0x60243330	12	0.001179	0.077634	[]
5	5	0x6024333c	52	0.000920	0.431234	[]
5	5	0x60243370	800	0.001170	5.217643	[]
5	5	0x60243690	16	0.000754	0.161908	[]
5	5	0x602436b8	4	0.000778	0.039205	[]
5	5	0x602436bc	12	0.000785	0.116559	[]
