x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002448	0.224370	[]
4	4	0x60243330	12	0.000893	0.102555	[]
4	4	0x6024333c	52	0.000850	0.466717	[]
4	4	0x60243370	16	0.000954	0.128001	[]
4	4	0x60d8a2c8	72	0.000926	0.593268	[]
4	4	0x60d8a310	12	0.000864	0.105919	[]
4	4	0x60d8a31c	104	0.000924	0.858343	[]
4	4	0x60d8a384	12	0.000847	0.108132	[]
4	4	0x60d8a390	24	0.000887	0.206427	[]
4	4	0x60d8a3c8	132	0.000825	1.220713	[]
4	4	0x60d8a4a4	4	0.000821	0.037186	[]
4	4	0x60d8a4a8	8	0.000804	0.075899	[]
4	4	0x60d8a4b0	4	0.000808	0.037788	[]
4	4	0x60d8a4c8	24	0.000850	0.215299	[]
4	4	0x60d8a4e0	12	0.000845	0.108330	[]
4	4	0x60d8a4f4	72	0.000950	0.578473	[]
4	4	0x60d8a53c	12	0.000826	0.110807	[]
4	4	0x60d8a548	52	0.001001	0.396271	[]
4	4	0x60d8a57c	16	0.000789	0.154782	[]
4	4	0x618d14d4	72	0.000810	0.678144	[]
4	4	0x618d151c	12	0.001981	0.046227	[]
4	4	0x618d1528	104	0.000886	0.895327	[]
4	4	0x618d1590	12	0.000827	0.110647	[]
4	4	0x618d159c	40	0.000780	0.391444	[]
4	4	0x618d1604	216	0.000763	2.159056	[]
4	4	0x618d16dc	132	0.000745	1.351091	[]
4	4	0x618d17b8	4	0.001168	0.026138	[]
4	4	0x618d17bc	140	0.001075	0.993991	[]
4	4	0x618d184c	8	0.000785	0.077786	[]
4	4	0x618d1854	4	0.000771	0.039558	[]
4	4	0x618d187c	24	0.000799	0.229063	[]
4	4	0x618d1894	20	0.000798	0.191136	[]
