x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002852	0.192638	[]
4	4	0x60243330	12	0.001168	0.078381	[]
4	4	0x6024333c	17444	0.010753	12.377044	[]
4	4	0x60247760	12	0.000990	0.092523	[]
4	4	0x6024776c	64	0.000990	0.493048	[]
4	4	0x602785ac	1140	0.002098	4.145900	[]
4	4	0x60278a78	4	0.002648	0.011524	[]
4	4	0x60278a7c	936	0.001368	5.220395	[]
4	4	0x60278e44	4	0.000951	0.032092	[]
4	4	0x60278e48	4	0.000949	0.032141	[]
4	4	0x60278f74	24	0.002012	0.091001	[]
4	4	0x60278f8c	68	0.000842	0.615961	[]
5	4	0x602432e8	72	0.001039	0.528522	[]
5	4	0x60243330	12	0.000927	0.098806	[]
5	4	0x6024333c	17444	0.014417	9.231520	[]
5	4	0x60247760	12	0.000899	0.101841	[]
5	4	0x6024776c	64	0.000847	0.576287	[]
5	4	0x602785ac	1140	0.001306	6.657224	[]
5	4	0x60278a78	4	0.000803	0.038001	[]
5	4	0x60278a7c	936	0.001192	5.992556	[]
5	4	0x60278e44	4	0.000826	0.036941	[]
5	4	0x60278e48	4	0.000804	0.037948	[]
5	4	0x60278f74	24	0.000810	0.226002	[]
5	4	0x60278f8c	68	0.001289	0.402357	[]
5	5	0x602432e8	72	0.001050	0.523053	[]
5	5	0x60243330	12	0.000826	0.110858	[]
5	5	0x6024333c	17444	0.010603	12.552013	[]
5	5	0x60247760	12	0.000793	0.115504	[]
5	5	0x6024776c	64	0.000715	0.682881	[]
5	5	0x602785ac	1140	0.001215	7.160136	[]
5	5	0x60278a78	4	0.000763	0.039976	[]
5	5	0x60278a7c	936	0.001231	5.802071	[]
5	5	0x60278e44	4	0.000788	0.038724	[]
5	5	0x60278e48	4	0.000693	0.044054	[]
5	5	0x60278f74	24	0.000643	0.284722	[]
5	5	0x60278f8c	68	0.000685	0.757410	[]
4	5	0x602432e8	72	0.000831	0.661038	[]
4	5	0x60243330	12	0.001183	0.077376	[]
4	5	0x6024333c	17444	0.005621	23.676414	[]
4	5	0x60247760	12	0.000721	0.126990	[]
4	5	0x6024776c	64	0.000681	0.717245	[]
4	5	0x602785ac	1140	0.000898	9.690268	[]
4	5	0x60278a78	4	0.000609	0.050090	[]
4	5	0x60278a7c	936	0.000862	8.281366	[]
4	5	0x60278e44	4	0.000625	0.048797	[]
4	5	0x60278e48	4	0.000604	0.050504	[]
4	5	0x60278f74	24	0.000582	0.314412	[]
4	5	0x60278f8c	68	0.000632	0.820307	[]
3	4	0x602432e8	72	0.001665	0.329839	[]
3	4	0x60243330	12	0.000904	0.101283	[]
3	4	0x6024333c	17444	0.005725	23.245829	[]
3	4	0x60247760	12	0.000721	0.127042	[]
3	4	0x6024776c	64	0.000627	0.779272	[]
3	4	0x6027695c	1140	0.000902	9.640944	[]
3	4	0x60276e28	4	0.000667	0.045729	[]
3	4	0x60276e2c	936	0.000775	9.210715	[]
3	4	0x602771f4	4	0.000562	0.054347	[]
3	4	0x602771f8	4	0.000572	0.053389	[]
3	4	0x60277324	24	0.000593	0.308644	[]
3	4	0x6027733c	68	0.000583	0.890574	[]
3	3	0x602432e8	72	0.000772	0.711260	[]
3	3	0x60243330	12	0.000622	0.147201	[]
3	3	0x6024333c	12004	0.003661	25.017490	[]
3	3	0x60246220	12	0.000692	0.132268	[]
3	3	0x6024622c	64	0.000618	0.789970	[]
3	3	0x6026ff7c	820	0.000815	7.679461	[]
3	3	0x60270308	4	0.000643	0.047485	[]
3	3	0x6027030c	936	0.000783	9.115283	[]
3	3	0x602706d4	4	0.000565	0.054011	[]
3	3	0x602706d8	4	0.000563	0.054226	[]
3	3	0x60270804	24	0.000566	0.323693	[]
3	3	0x6027081c	68	0.000570	0.909683	[]
4	3	0x602432e8	72	0.000735	0.747627	[]
4	3	0x60243330	12	0.000617	0.148415	[]
4	3	0x6024333c	3028	0.001343	17.206396	[]
4	3	0x60243f10	12	0.000597	0.153394	[]
4	3	0x60243f1c	64	0.000569	0.857619	[]
4	3	0x6025c28c	292	0.000654	3.404075	[]
4	3	0x6025c408	4	0.000563	0.054208	[]
4	3	0x6025c40c	936	0.000796	8.966674	[]
4	3	0x6025c7d4	4	0.000550	0.055444	[]
4	3	0x6025c7d8	4	0.000550	0.055503	[]
4	3	0x6025c904	24	0.000591	0.309724	[]
4	3	0x6025c91c	68	0.000598	0.867538	[]
6	4	0x602432e8	72	0.000785	0.700185	[]
6	4	0x60243330	12	0.000603	0.151809	[]
6	4	0x6024333c	52	0.003228	0.122913	[]
6	4	0x60243370	800	0.001127	5.414374	[]
6	4	0x60243690	16	0.000640	0.190586	[]
6	4	0x602436b8	4	0.000671	0.045454	[]
6	4	0x602436bc	12	0.000573	0.159665	[]
