x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.014244	0.038565	[]
4	4	0x60243330	12	0.018660	0.004906	[]
4	4	0x6024333c	52	0.000957	0.414416	[]
4	4	0x60243370	16	0.000942	0.129555	[]
4	4	0x60c0935c	72	0.017624	0.031170	[]
4	4	0x60c093a4	12	0.001678	0.054560	[]
4	4	0x60c093b0	1396	0.001816	5.866060	[]
4	4	0x60c09924	12	0.001141	0.080231	[]
4	4	0x60c09930	24	0.000918	0.199353	[]
4	4	0x60c0a088	196	0.001255	1.191808	[]
4	4	0x60c0a1a4	4	0.000925	0.032986	[]
4	4	0x60c0a1a8	152	0.011707	0.099054	[]
4	4	0x60c0a244	4	0.001583	0.019279	[]
4	4	0x60c0a248	4	0.000883	0.034576	[]
4	4	0x60c0a260	24	0.000915	0.200182	[]
4	4	0x60c0a278	12	0.001186	0.077197	[]
