x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002260	0.243050	[]
4	4	0x60243330	12	0.000896	0.102213	[]
4	4	0x6024333c	108	0.001112	0.741286	[]
4	4	0x602433a8	12	0.000914	0.100206	[]
4	4	0x602433b4	24	0.000851	0.215048	[]
4	4	0x602433ec	132	0.000852	1.181661	[]
4	4	0x602434c8	4	0.000804	0.037937	[]
4	4	0x602434cc	8	0.000825	0.073970	[]
4	4	0x602434d4	4	0.000857	0.035627	[]
4	4	0x602434ec	24	0.000879	0.208401	[]
4	4	0x60243504	12	0.000877	0.104346	[]
4	4	0x60243518	72	0.000890	0.617304	[]
4	4	0x60243560	12	0.000837	0.109409	[]
4	4	0x6024356c	108	0.000845	0.974781	[]
4	4	0x602435d8	12	0.000870	0.105209	[]
4	4	0x602435e4	24	0.000811	0.225784	[]
4	4	0x6024361c	132	0.000865	1.164557	[]
4	4	0x602436f8	4	0.000865	0.035261	[]
4	4	0x602436fc	8	0.000846	0.072159	[]
4	4	0x60243704	4	0.000795	0.038380	[]
4	4	0x6024371c	24	0.000813	0.225250	[]
4	4	0x60243734	12	0.000840	0.108936	[]
4	4	0x60243748	72	0.000819	0.670434	[]
4	4	0x60243790	12	0.000844	0.108484	[]
4	4	0x6024379c	84	0.000793	0.808328	[]
4	4	0x602437f0	12	0.000766	0.119562	[]
4	4	0x602437fc	24	0.000804	0.227716	[]
4	4	0x60243834	132	0.001636	0.615568	[]
4	4	0x60243910	4	0.000817	0.037345	[]
4	4	0x60243914	8	0.002136	0.028581	[]
4	4	0x6024391c	4	0.000858	0.035574	[]
4	4	0x60243934	24	0.000957	0.191336	[]
4	4	0x6024394c	12	0.000766	0.119594	[]
4	4	0x60243960	72	0.000772	0.711787	[]
4	4	0x602439a8	12	0.000706	0.129592	[]
4	4	0x602439b4	116	0.000780	1.134807	[]
4	4	0x60243a28	12	0.000772	0.118557	[]
4	4	0x60243a34	24	0.000738	0.248194	[]
4	4	0x60243a6c	132	0.000735	1.369741	[]
4	4	0x60243b48	4	0.000789	0.038672	[]
4	4	0x60243b4c	8	0.000774	0.078842	[]
4	4	0x60243b54	4	0.000736	0.041470	[]
4	4	0x60243b6c	24	0.000790	0.231641	[]
4	4	0x60243b84	12	0.000763	0.120043	[]
4	4	0x60243b98	72	0.000707	0.776687	[]
4	4	0x60243be0	12	0.000739	0.123876	[]
4	4	0x60243bec	108	0.000732	1.126084	[]
4	4	0x60243c58	16	0.000767	0.159235	[]
4	4	0x60243c68	24	0.000757	0.241859	[]
4	4	0x60243ca0	132	0.000765	1.316367	[]
4	4	0x60243d7c	4	0.000748	0.040811	[]
4	4	0x60243d80	8	0.000733	0.083283	[]
4	4	0x60243d88	4	0.000760	0.040153	[]
4	4	0x60243da0	24	0.000729	0.251117	[]
4	4	0x60243db8	12	0.000963	0.095022	[]
4	4	0x60243dcc	72	0.000703	0.781496	[]
4	4	0x60243e14	12	0.000674	0.135766	[]
4	4	0x60243e20	100	0.000732	1.042817	[]
4	4	0x60243e84	12	0.000861	0.106325	[]
4	4	0x60243e90	24	0.000766	0.239188	[]
4	4	0x60243ec8	132	0.000709	1.421317	[]
4	4	0x60243fa4	4	0.000711	0.042917	[]
4	4	0x60243fa8	8	0.000711	0.085872	[]
4	4	0x60243fb0	4	0.000661	0.046197	[]
4	4	0x60243fc8	24	0.000668	0.274049	[]
4	4	0x60243fe0	12	0.000667	0.137289	[]
4	4	0x60243ff4	72	0.000638	0.861124	[]
4	4	0x6024403c	12	0.000676	0.135391	[]
4	4	0x60244048	96	0.000662	1.106454	[]
4	4	0x602440a8	12	0.000707	0.129469	[]
4	4	0x602440b4	24	0.000668	0.274289	[]
4	4	0x602440ec	132	0.000693	1.453522	[]
4	4	0x602441c8	4	0.000733	0.041635	[]
4	4	0x602441cc	8	0.000700	0.087178	[]
4	4	0x602441d4	4	0.000683	0.044674	[]
4	4	0x602441ec	24	0.000648	0.282722	[]
4	4	0x60244204	12	0.000686	0.133419	[]
4	4	0x60244218	72	0.000685	0.802368	[]
4	4	0x60244260	12	0.000678	0.134986	[]
4	4	0x6024426c	112	0.000651	1.312524	[]
4	4	0x602442dc	12	0.000642	0.142528	[]
4	4	0x602442e8	24	0.000854	0.214490	[]
4	4	0x60244320	132	0.000672	1.499329	[]
4	4	0x602443fc	4	0.000690	0.044254	[]
4	4	0x60244400	8	0.000657	0.092896	[]
4	4	0x60244408	4	0.000969	0.031487	[]
4	4	0x60244420	24	0.000687	0.266653	[]
4	4	0x60244438	12	0.000682	0.134244	[]
4	4	0x6024444c	72	0.001116	0.492277	[]
4	4	0x60244494	12	0.000811	0.112873	[]
4	4	0x602444a0	104	0.000679	1.168598	[]
4	4	0x60244508	12	0.000629	0.145532	[]
4	4	0x60244514	24	0.000559	0.327300	[]
4	4	0x6024454c	132	0.000575	1.752504	[]
4	4	0x60244628	4	0.000554	0.055040	[]
4	4	0x6024462c	8	0.000560	0.108919	[]
4	4	0x60244634	4	0.000524	0.058267	[]
4	4	0x6024464c	24	0.000586	0.312333	[]
4	4	0x60244664	12	0.000554	0.165366	[]
4	4	0x60244678	72	0.000606	0.906288	[]
4	4	0x602446c0	12	0.000644	0.142113	[]
4	4	0x602446cc	52	0.000660	0.601101	[]
4	4	0x60244700	16	0.000594	0.205471	[]
