x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002358	0.232952	[]
4	4	0x60243330	12	0.000934	0.098040	[]
4	4	0x6024333c	108	0.000945	0.872215	[]
4	4	0x602433a8	12	0.000879	0.104133	[]
4	4	0x602433b4	24	0.000889	0.205928	[]
4	4	0x602433ec	132	0.000834	1.207452	[]
4	4	0x602434c8	4	0.000822	0.037125	[]
4	4	0x602434cc	8	0.000848	0.072016	[]
4	4	0x602434d4	4	0.000839	0.036372	[]
4	4	0x602434ec	24	0.000890	0.205763	[]
4	4	0x60243504	12	0.000854	0.107146	[]
4	4	0x60243518	72	0.000851	0.645536	[]
4	4	0x60243560	12	0.000881	0.103968	[]
4	4	0x6024356c	108	0.000773	1.066262	[]
4	4	0x602435d8	12	0.000970	0.094403	[]
4	4	0x602435e4	24	0.000827	0.221387	[]
4	4	0x6024361c	132	0.000916	1.098899	[]
4	4	0x602436f8	4	0.000979	0.031164	[]
4	4	0x602436fc	8	0.000829	0.073587	[]
4	4	0x60243704	4	0.000911	0.033509	[]
4	4	0x6024371c	24	0.000877	0.208847	[]
4	4	0x60243734	12	0.000890	0.102924	[]
4	4	0x60243748	72	0.000792	0.693332	[]
4	4	0x60243790	12	0.000783	0.116960	[]
4	4	0x6024379c	84	0.000924	0.693879	[]
4	4	0x602437f0	12	0.000820	0.111677	[]
4	4	0x602437fc	24	0.000921	0.198744	[]
4	4	0x60243834	132	0.001314	0.766629	[]
4	4	0x60243910	4	0.000892	0.034221	[]
4	4	0x60243914	8	0.000873	0.069923	[]
4	4	0x6024391c	4	0.000793	0.038464	[]
4	4	0x60243934	24	0.000902	0.202911	[]
4	4	0x6024394c	12	0.000791	0.115738	[]
4	4	0x60243960	72	0.000796	0.689985	[]
4	4	0x602439a8	12	0.000754	0.121469	[]
4	4	0x602439b4	116	0.001043	0.848676	[]
4	4	0x60243a28	12	0.000794	0.115353	[]
4	4	0x60243a34	24	0.000784	0.233478	[]
4	4	0x60243a6c	132	0.000748	1.346704	[]
4	4	0x60243b48	4	0.000741	0.041210	[]
4	4	0x60243b4c	8	0.000761	0.080221	[]
4	4	0x60243b54	4	0.000760	0.040148	[]
4	4	0x60243b6c	24	0.000731	0.250401	[]
4	4	0x60243b84	12	0.000768	0.119229	[]
4	4	0x60243b98	72	0.000727	0.755956	[]
4	4	0x60243be0	12	0.000736	0.124371	[]
4	4	0x60243bec	108	0.000778	1.059235	[]
4	4	0x60243c58	16	0.000769	0.158639	[]
4	4	0x60243c68	24	0.000726	0.252355	[]
4	4	0x60243ca0	132	0.000704	1.430991	[]
4	4	0x60243d7c	4	0.000767	0.039791	[]
4	4	0x60243d80	8	0.000797	0.076548	[]
4	4	0x60243d88	4	0.000767	0.039796	[]
4	4	0x60243da0	24	0.000726	0.252145	[]
4	4	0x60243db8	12	0.001089	0.084080	[]
4	4	0x60243dcc	72	0.000713	0.770740	[]
4	4	0x60243e14	12	0.000714	0.128183	[]
4	4	0x60243e20	100	0.000948	0.804659	[]
4	4	0x60243e84	12	0.001355	0.067556	[]
4	4	0x60243e90	24	0.000780	0.234767	[]
4	4	0x60243ec8	132	0.000730	1.379292	[]
4	4	0x60243fa4	4	0.000705	0.043301	[]
4	4	0x60243fa8	8	0.000725	0.084130	[]
4	4	0x60243fb0	4	0.000705	0.043294	[]
4	4	0x60243fc8	24	0.000753	0.243273	[]
4	4	0x60243fe0	12	0.000659	0.138910	[]
4	4	0x60243ff4	72	0.000681	0.806959	[]
4	4	0x6024403c	12	0.000676	0.135407	[]
4	4	0x60244048	96	0.000622	1.177243	[]
4	4	0x602440a8	12	0.000689	0.132853	[]
4	4	0x602440b4	24	0.000722	0.253769	[]
4	4	0x602440ec	132	0.001162	0.866320	[]
4	4	0x602441c8	4	0.000697	0.043813	[]
4	4	0x602441cc	8	0.001058	0.057692	[]
4	4	0x602441d4	4	0.000686	0.044509	[]
4	4	0x602441ec	24	0.000673	0.271931	[]
4	4	0x60244204	12	0.000617	0.148412	[]
4	4	0x60244218	72	0.000657	0.836511	[]
4	4	0x60244260	12	0.000643	0.142326	[]
4	4	0x6024426c	112	0.000623	1.371251	[]
4	4	0x602442dc	12	0.000635	0.144098	[]
4	4	0x602442e8	24	0.001097	0.166900	[]
4	4	0x60244320	132	0.000749	1.345123	[]
4	4	0x602443fc	4	0.000709	0.043049	[]
4	4	0x60244400	8	0.000642	0.095066	[]
4	4	0x60244408	4	0.000666	0.045794	[]
4	4	0x60244420	24	0.000654	0.279826	[]
4	4	0x60244438	12	0.000622	0.147194	[]
4	4	0x6024444c	72	0.001298	0.423206	[]
4	4	0x60244494	12	0.000721	0.126934	[]
4	4	0x602444a0	104	0.000640	1.239008	[]
4	4	0x60244508	12	0.000590	0.155064	[]
4	4	0x60244514	24	0.000572	0.319977	[]
4	4	0x6024454c	132	0.000565	1.783699	[]
4	4	0x60244628	4	0.000540	0.056519	[]
4	4	0x6024462c	8	0.000630	0.096930	[]
4	4	0x60244634	4	0.000549	0.055563	[]
4	4	0x6024464c	24	0.000577	0.317134	[]
4	4	0x60244664	12	0.000550	0.166431	[]
4	4	0x60244678	72	0.000627	0.876389	[]
4	4	0x602446c0	12	0.000638	0.143610	[]
4	4	0x602446cc	52	0.000623	0.636686	[]
4	4	0x60244700	16	0.000595	0.205196	[]
