x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.012544	0.043791	[]
4	4	0x60243330	12	0.009650	0.009488	[]
4	4	0x6024333c	52	0.007291	0.054412	[]
4	4	0x60243370	16	0.001797	0.067943	[]
4	4	0x60d8a2c8	72	0.007256	0.075707	[]
4	4	0x60d8a310	12	0.007233	0.012657	[]
4	4	0x60d8a31c	104	0.001745	0.454814	[]
4	4	0x60d8a384	12	0.009066	0.010098	[]
4	4	0x60d8a390	24	0.003196	0.057290	[]
4	4	0x60d8a3c8	132	0.007480	0.134638	[]
4	4	0x60d8a4a4	4	0.001666	0.018323	[]
4	4	0x60d8a4a8	8	0.009148	0.006672	[]
4	4	0x60d8a4b0	4	0.011328	0.002694	[]
4	4	0x60d8a4c8	24	0.001577	0.116074	[]
4	4	0x60d8a4e0	12	0.001339	0.068385	[]
4	4	0x60d8a4f4	72	0.012949	0.042423	[]
4	4	0x60d8a53c	12	0.011094	0.008252	[]
4	4	0x60d8a548	52	0.001712	0.231721	[]
4	4	0x60d8a57c	16	0.001338	0.091232	[]
4	4	0x618d14d4	72	0.017399	0.031572	[]
4	4	0x618d151c	12	0.011301	0.008101	[]
4	4	0x618d1528	104	0.001690	0.469370	[]
4	4	0x618d1590	12	0.009261	0.009886	[]
4	4	0x618d159c	40	0.024936	0.012239	[]
4	4	0x618d1604	216	0.001241	1.328439	[]
4	4	0x618d16dc	132	0.001165	0.864743	[]
4	4	0x618d17b8	4	0.001366	0.022345	[]
4	4	0x618d17bc	140	0.001905	0.560661	[]
4	4	0x618d184c	8	0.001917	0.031845	[]
4	4	0x618d1854	4	0.008152	0.003744	[]
4	4	0x618d187c	24	0.007376	0.024824	[]
4	4	0x618d1894	20	0.001685	0.090540	[]
