x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002636	0.208369	[]
4	4	0x60243330	12	0.000999	0.091608	[]
4	4	0x6024333c	17444	0.010897	12.212868	[]
4	4	0x60247760	12	0.000973	0.094091	[]
4	4	0x6024776c	64	0.000879	0.555321	[]
4	4	0x602785ac	1140	0.001538	5.656586	[]
4	4	0x60278a78	4	0.000869	0.035103	[]
4	4	0x60278a7c	936	0.001355	5.271241	[]
4	4	0x60278e44	4	0.000890	0.034284	[]
4	4	0x60278e48	4	0.000970	0.031456	[]
4	4	0x60278f74	24	0.001641	0.111551	[]
4	4	0x60278f8c	68	0.000837	0.619888	[]
5	4	0x602432e8	72	0.000997	0.551038	[]
5	4	0x60243330	12	0.000852	0.107513	[]
5	4	0x6024333c	17444	0.010372	12.831334	[]
5	4	0x60247760	12	0.000841	0.108886	[]
5	4	0x6024776c	64	0.001068	0.457321	[]
5	4	0x602785ac	1140	0.001415	6.146824	[]
5	4	0x60278a78	4	0.000874	0.034907	[]
5	4	0x60278a7c	936	0.001187	6.018485	[]
5	4	0x60278e44	4	0.000845	0.036111	[]
5	4	0x60278e48	4	0.001043	0.029262	[]
5	4	0x60278f74	24	0.000797	0.229840	[]
5	4	0x60278f8c	68	0.000857	0.605120	[]
5	5	0x602432e8	72	0.001050	0.523152	[]
5	5	0x60243330	12	0.000843	0.108665	[]
5	5	0x6024333c	17444	0.009913	13.425223	[]
5	5	0x60247760	12	0.000725	0.126260	[]
5	5	0x6024776c	64	0.000845	0.577905	[]
5	5	0x602785ac	1140	0.001177	7.386966	[]
5	5	0x60278a78	4	0.000668	0.045659	[]
5	5	0x60278a7c	936	0.000939	7.605781	[]
5	5	0x60278e44	4	0.000949	0.032167	[]
5	5	0x60278e48	4	0.000771	0.039580	[]
5	5	0x60278f74	24	0.000618	0.296100	[]
5	5	0x60278f8c	68	0.000670	0.774107	[]
4	5	0x602432e8	72	0.000898	0.611469	[]
4	5	0x60243330	12	0.000654	0.139998	[]
4	5	0x6024333c	17444	0.005608	23.733337	[]
4	5	0x60247760	12	0.000592	0.154662	[]
4	5	0x6024776c	64	0.000548	0.891070	[]
4	5	0x602785ac	1140	0.000822	10.574532	[]
4	5	0x60278a78	4	0.000529	0.057702	[]
4	5	0x60278a7c	936	0.000739	9.659394	[]
4	5	0x60278e44	4	0.000525	0.058074	[]
4	5	0x60278e48	4	0.000533	0.057255	[]
4	5	0x60278f74	24	0.000562	0.326074	[]
4	5	0x60278f8c	68	0.000537	0.965845	[]
3	4	0x602432e8	72	0.001554	0.353542	[]
3	4	0x60243330	12	0.000642	0.142709	[]
3	4	0x6024333c	17444	0.004977	26.741346	[]
3	4	0x60247760	12	0.000680	0.134662	[]
3	4	0x6024776c	64	0.000728	0.670315	[]
3	4	0x6027695c	1140	0.000866	10.048013	[]
3	4	0x60276e28	4	0.000539	0.056653	[]
3	4	0x60276e2c	936	0.000714	10.005104	[]
3	4	0x602771f4	4	0.000586	0.052116	[]
3	4	0x602771f8	4	0.000532	0.057324	[]
3	4	0x60277324	24	0.000531	0.344905	[]
3	4	0x6027733c	68	0.000539	0.962584	[]
4	3	0x602432e8	72	0.000655	0.838687	[]
4	3	0x60243330	12	0.000539	0.169973	[]
4	3	0x6024333c	12004	0.003429	26.711046	[]
4	3	0x60246220	12	0.000563	0.162656	[]
4	3	0x6024622c	64	0.000613	0.796788	[]
4	3	0x6026ff7c	820	0.000708	8.830368	[]
4	3	0x60270308	4	0.002463	0.012388	[]
4	3	0x6027030c	936	0.000772	9.251345	[]
4	3	0x602706d4	4	0.000539	0.056618	[]
4	3	0x602706d8	4	0.000532	0.057341	[]
4	3	0x60270804	24	0.000520	0.352283	[]
4	3	0x6027081c	68	0.000519	0.998739	[]
6	4	0x602432e8	72	0.000647	0.848761	[]
6	4	0x60243330	12	0.000548	0.167138	[]
6	4	0x6024333c	3028	0.001210	19.090698	[]
6	4	0x60243f10	12	0.000539	0.170003	[]
6	4	0x60243f1c	64	0.000533	0.915846	[]
6	4	0x6025c28c	292	0.000584	3.816665	[]
6	4	0x6025c408	4	0.000518	0.058885	[]
6	4	0x6025c40c	936	0.000714	9.999836	[]
6	4	0x6025c7d4	4	0.000564	0.054105	[]
6	4	0x6025c7d8	4	0.000520	0.058664	[]
6	4	0x6025c904	24	0.000541	0.338472	[]
6	4	0x6025c91c	68	0.000530	0.979159	[]
6	5	0x602432e8	72	0.000639	0.859208	[]
6	5	0x60243330	12	0.000549	0.166748	[]
6	5	0x6024333c	52	0.000511	0.776796	[]
6	5	0x60243370	800	0.000739	8.264232	[]
6	5	0x60243690	16	0.000531	0.230005	[]
6	5	0x602436b8	4	0.000567	0.053858	[]
6	5	0x602436bc	12	0.000559	0.163792	[]
