x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002335	0.235250	[]
4	4	0x60243330	12	0.000964	0.094947	[]
4	4	0x6024333c	52	0.001060	0.374198	[]
4	4	0x60243370	16	0.000934	0.130677	[]
4	4	0x6067bd68	72	0.001005	0.546698	[]
4	4	0x6067bdb0	12	0.001080	0.084737	[]
4	4	0x6067bdbc	6836	0.004870	10.710361	[]
4	4	0x6067d870	12	0.001071	0.085507	[]
4	4	0x6067d87c	24	0.001152	0.158907	[]
4	4	0x6067dee4	516	0.001036	3.799195	[]
4	4	0x6067e140	4	0.000858	0.035566	[]
4	4	0x6067e144	404	0.001089	2.830536	[]
4	4	0x6067e2d8	4	0.000863	0.035356	[]
4	4	0x6067e2fc	24	0.000900	0.203533	[]
4	4	0x6067e314	12	0.000928	0.098705	[]
