x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.003389	0.162098	[]
4	4	0x60243330	12	0.001259	0.072734	[]
4	4	0x6024333c	8196	0.041897	1.492476	[]
4	4	0x60245340	12	0.001200	0.076318	[]
4	4	0x6024534c	56	0.001001	0.426765	[]
4	4	0x602481b4	596	0.001249	3.639967	[]
4	4	0x60248460	4	0.001817	0.016794	[]
4	4	0x60248464	376	0.001097	2.615310	[]
4	4	0x602485e8	4	0.001065	0.028665	[]
4	4	0x602485ec	4	0.000946	0.032251	[]
4	4	0x60248630	24	0.000972	0.188411	[]
4	4	0x60248648	28	0.000931	0.229433	[]
5	4	0x602432e8	72	0.005397	0.101781	[]
5	4	0x60243330	12	0.002749	0.033303	[]
5	4	0x6024333c	2076	0.004410	3.591912	[]
5	4	0x60243b58	12	0.002542	0.036019	[]
5	4	0x60243b64	56	0.002037	0.209760	[]
5	4	0x602457cc	244	0.001231	1.512035	[]
5	4	0x60245918	4	0.001177	0.025937	[]
5	4	0x6024591c	376	0.001720	1.667703	[]
5	4	0x60245aa0	4	0.001082	0.028217	[]
5	4	0x60245aa4	4	0.000967	0.031560	[]
5	4	0x60245ae8	24	0.000921	0.198894	[]
5	4	0x60245b00	28	0.000843	0.253508	[]
5	5	0x602432e8	72	0.001010	0.544067	[]
5	5	0x60243330	12	0.000940	0.097392	[]
5	5	0x6024333c	52	0.000831	0.477563	[]
5	5	0x60243370	800	0.001246	4.898853	[]
5	5	0x60243690	16	0.000925	0.132022	[]
5	5	0x602436b8	4	0.000875	0.034871	[]
5	5	0x602436bc	12	0.000797	0.114808	[]
