x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.003071	0.178899	[]
4	4	0x60243330	12	0.001190	0.076963	[]
4	4	0x6024333c	52	0.000978	0.405481	[]
4	4	0x60243370	16	0.001078	0.113220	[]
4	4	0x60451ed0	72	0.001376	0.399200	[]
4	4	0x60451f18	12	0.000973	0.094061	[]
4	4	0x60451f24	6836	0.005272	9.893647	[]
4	4	0x604539d8	12	0.001008	0.090814	[]
4	4	0x604539e4	40	0.000967	0.315579	[]
4	4	0x60453a0c	2000	0.002090	7.299424	[]
4	4	0x6045482c	516	0.001059	3.719064	[]
4	4	0x60454a88	4	0.002853	0.010696	[]
4	4	0x60454a8c	404	0.001180	2.611963	[]
4	4	0x60454c20	4	0.001014	0.030100	[]
4	4	0x60454c60	24	0.000904	0.202545	[]
4	4	0x60454c78	20	0.000899	0.169779	[]
