x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002672	0.205558	[]
4	4	0x60243330	12	0.001086	0.084266	[]
4	4	0x6024333c	17444	0.011328	11.748553	[]
4	4	0x60247760	12	0.001045	0.087616	[]
4	4	0x6024776c	64	0.000863	0.566037	[]
4	4	0x602785ac	1140	0.001661	5.236814	[]
4	4	0x60278a78	4	0.000972	0.031401	[]
4	4	0x60278a7c	936	0.001725	4.140450	[]
4	4	0x60278e44	4	0.000926	0.032955	[]
4	4	0x60278e48	4	0.001175	0.025983	[]
4	4	0x60278f74	24	0.001673	0.109422	[]
4	4	0x60278f8c	68	0.000835	0.621128	[]
5	4	0x602432e8	72	0.000952	0.577246	[]
5	4	0x60243330	12	0.000868	0.105454	[]
5	4	0x6024333c	17444	0.009764	13.630277	[]
5	4	0x60247760	12	0.001608	0.056938	[]
5	4	0x6024776c	64	0.001468	0.332634	[]
5	4	0x602785ac	1140	0.002616	3.324534	[]
5	4	0x60278a78	4	0.001186	0.025723	[]
5	4	0x60278a7c	936	0.002176	3.281810	[]
5	4	0x60278e44	4	0.001212	0.025184	[]
5	4	0x60278e48	4	0.001113	0.027425	[]
5	4	0x60278f74	24	0.001245	0.147101	[]
5	4	0x60278f8c	68	0.001380	0.375946	[]
5	5	0x602432e8	72	0.001594	0.344642	[]
5	5	0x60243330	12	0.001464	0.062536	[]
5	5	0x6024333c	17444	0.010924	12.183103	[]
5	5	0x60247760	12	0.001044	0.087716	[]
5	5	0x6024776c	64	0.000933	0.523424	[]
5	5	0x602785ac	1140	0.001594	5.457895	[]
5	5	0x60278a78	4	0.001164	0.026221	[]
5	5	0x60278a7c	936	0.001477	4.833382	[]
5	5	0x60278e44	4	0.000947	0.032212	[]
5	5	0x60278e48	4	0.000914	0.033389	[]
5	5	0x60278f74	24	0.000981	0.186705	[]
5	5	0x60278f8c	68	0.000911	0.569356	[]
4	5	0x602432e8	72	0.001023	0.537069	[]
4	5	0x60243330	12	0.000709	0.129219	[]
4	5	0x6024333c	17444	0.005130	25.940979	[]
4	5	0x60247760	12	0.000681	0.134374	[]
4	5	0x6024776c	64	0.000669	0.729767	[]
4	5	0x602785ac	1140	0.000827	10.515809	[]
4	5	0x60278a78	4	0.000581	0.052535	[]
4	5	0x60278a7c	936	0.000791	9.033197	[]
4	5	0x60278e44	4	0.000537	0.056780	[]
4	5	0x60278e48	4	0.000532	0.057400	[]
4	5	0x60278f74	24	0.000515	0.355641	[]
4	5	0x60278f8c	68	0.000533	0.972843	[]
3	4	0x602432e8	72	0.001073	0.511783	[]
3	4	0x60243330	12	0.000679	0.134819	[]
3	4	0x6024333c	17444	0.004987	26.685875	[]
3	4	0x60247760	12	0.000718	0.127430	[]
3	4	0x6024776c	64	0.000628	0.777426	[]
3	4	0x6027695c	1140	0.000911	9.541985	[]
3	4	0x60276e28	4	0.000538	0.056679	[]
3	4	0x60276e2c	936	0.000745	9.590498	[]
3	4	0x602771f4	4	0.000561	0.054384	[]
3	4	0x602771f8	4	0.000532	0.057317	[]
3	4	0x60277324	24	0.000542	0.337747	[]
3	4	0x6027733c	68	0.000529	0.981200	[]
4	3	0x602432e8	72	0.001119	0.490811	[]
4	3	0x60243330	12	0.000590	0.155282	[]
4	3	0x6024333c	12004	0.003363	27.233650	[]
4	3	0x60246220	12	0.000597	0.153305	[]
4	3	0x6024622c	64	0.000620	0.787769	[]
4	3	0x6026ff7c	820	0.000730	8.571743	[]
4	3	0x60270308	4	0.000535	0.057061	[]
4	3	0x6027030c	936	0.000760	9.395250	[]
4	3	0x602706d4	4	0.000549	0.055568	[]
4	3	0x602706d8	4	0.000589	0.051830	[]
4	3	0x60270804	24	0.000536	0.341802	[]
4	3	0x6027081c	68	0.000512	1.014061	[]
6	4	0x602432e8	72	0.000669	0.821031	[]
6	4	0x60243330	12	0.000576	0.159005	[]
6	4	0x6024333c	3028	0.001330	17.365171	[]
6	4	0x60243f10	12	0.000547	0.167456	[]
6	4	0x60243f1c	64	0.000506	0.964198	[]
6	4	0x6025c28c	292	0.000566	3.933622	[]
6	4	0x6025c408	4	0.000531	0.057434	[]
6	4	0x6025c40c	936	0.000749	9.537545	[]
6	4	0x6025c7d4	4	0.000552	0.055335	[]
6	4	0x6025c7d8	4	0.000549	0.055635	[]
6	4	0x6025c904	24	0.000511	0.358594	[]
6	4	0x6025c91c	68	0.000554	0.935994	[]
6	5	0x602432e8	72	0.000673	0.816016	[]
6	5	0x60243330	12	0.000609	0.150226	[]
6	5	0x6024333c	52	0.000520	0.763481	[]
6	5	0x60243370	800	0.000700	8.714615	[]
6	5	0x60243690	16	0.000526	0.232172	[]
6	5	0x602436b8	4	0.000586	0.052073	[]
6	5	0x602436bc	12	0.000588	0.155682	[]
