x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002954	0.185935	[]
4	4	0x60243330	12	0.001227	0.074640	[]
4	4	0x6024333c	17444	0.010593	12.563401	[]
4	4	0x60247760	12	0.001022	0.089597	[]
4	4	0x6024776c	64	0.001012	0.482725	[]
4	4	0x602785ac	1140	0.001703	5.106777	[]
4	4	0x60278a78	4	0.000983	0.031053	[]
4	4	0x60278a7c	936	0.001598	4.468343	[]
4	4	0x60278e44	4	0.000939	0.032505	[]
4	4	0x60278e48	4	0.001049	0.029105	[]
4	4	0x60278f74	24	0.001405	0.130281	[]
4	4	0x60278f8c	68	0.000811	0.639477	[]
5	4	0x602432e8	72	0.000977	0.562215	[]
5	4	0x60243330	12	0.001055	0.086773	[]
5	4	0x6024333c	17444	0.009018	14.758538	[]
5	4	0x60247760	12	0.000900	0.101744	[]
5	4	0x6024776c	64	0.000915	0.533739	[]
5	4	0x602785ac	1140	0.001390	6.255518	[]
5	4	0x60278a78	4	0.000913	0.033432	[]
5	4	0x60278a7c	936	0.001282	5.571547	[]
5	4	0x60278e44	4	0.000908	0.033627	[]
5	4	0x60278e48	4	0.000823	0.037078	[]
5	4	0x60278f74	24	0.000874	0.209587	[]
5	4	0x60278f8c	68	0.001225	0.423500	[]
5	5	0x602432e8	72	0.001339	0.410378	[]
5	5	0x60243330	12	0.000796	0.114959	[]
5	5	0x6024333c	17444	0.007381	18.031372	[]
5	5	0x60247760	12	0.000795	0.115103	[]
5	5	0x6024776c	64	0.000713	0.684375	[]
5	5	0x602785ac	1140	0.001281	6.788406	[]
5	5	0x60278a78	4	0.000723	0.042219	[]
5	5	0x60278a7c	936	0.000915	7.806935	[]
5	5	0x60278e44	4	0.000719	0.042466	[]
5	5	0x60278e48	4	0.000658	0.046359	[]
5	5	0x60278f74	24	0.000672	0.272281	[]
5	5	0x60278f8c	68	0.000665	0.780386	[]
4	5	0x602432e8	72	0.000826	0.664848	[]
4	5	0x60243330	12	0.000829	0.110474	[]
4	5	0x6024333c	17444	0.005406	24.616903	[]
4	5	0x60247760	12	0.000700	0.130777	[]
4	5	0x6024776c	64	0.000685	0.712326	[]
4	5	0x602785ac	1140	0.000829	10.495911	[]
4	5	0x60278a78	4	0.000587	0.052002	[]
4	5	0x60278a7c	936	0.000823	8.682056	[]
4	5	0x60278e44	4	0.000668	0.045706	[]
4	5	0x60278e48	4	0.000583	0.052390	[]
4	5	0x60278f74	24	0.000549	0.333283	[]
4	5	0x60278f8c	68	0.000608	0.853669	[]
3	4	0x602432e8	72	0.001480	0.371090	[]
3	4	0x60243330	12	0.000835	0.109622	[]
3	4	0x6024333c	17444	0.005397	24.660219	[]
3	4	0x60247760	12	0.000686	0.133457	[]
3	4	0x6024776c	64	0.000645	0.756465	[]
3	4	0x6027695c	1140	0.000848	10.261337	[]
3	4	0x60276e28	4	0.000559	0.054612	[]
3	4	0x60276e2c	936	0.000792	9.021660	[]
3	4	0x602771f4	4	0.000549	0.055582	[]
3	4	0x602771f8	4	0.000527	0.057876	[]
3	4	0x60277324	24	0.000588	0.311276	[]
3	4	0x6027733c	68	0.000561	0.925425	[]
3	3	0x602432e8	72	0.000753	0.729750	[]
3	3	0x60243330	12	0.000662	0.138217	[]
3	3	0x6024333c	12004	0.003428	26.719290	[]
3	3	0x60246220	12	0.000693	0.132146	[]
3	3	0x6024622c	64	0.000620	0.787072	[]
3	3	0x6026ff7c	820	0.000820	7.627246	[]
3	3	0x60270308	4	0.000590	0.051689	[]
3	3	0x6027030c	936	0.000760	9.394237	[]
3	3	0x602706d4	4	0.000537	0.056830	[]
3	3	0x602706d8	4	0.000553	0.055201	[]
3	3	0x60270804	24	0.000570	0.321059	[]
3	3	0x6027081c	68	0.000772	0.671888	[]
4	3	0x602432e8	72	0.000699	0.786297	[]
4	3	0x60243330	12	0.000852	0.107400	[]
4	3	0x6024333c	3028	0.001243	18.591328	[]
4	3	0x60243f10	12	0.000585	0.156508	[]
4	3	0x60243f1c	64	0.000546	0.894172	[]
4	3	0x6025c28c	292	0.000637	3.497508	[]
4	3	0x6025c408	4	0.000619	0.049319	[]
4	3	0x6025c40c	936	0.000788	9.056832	[]
4	3	0x6025c7d4	4	0.000558	0.054718	[]
4	3	0x6025c7d8	4	0.000613	0.049795	[]
4	3	0x6025c904	24	0.000559	0.327816	[]
4	3	0x6025c91c	68	0.000562	0.923501	[]
6	4	0x602432e8	72	0.000680	0.807737	[]
6	4	0x60243330	12	0.000576	0.158832	[]
6	4	0x6024333c	52	0.000626	0.633711	[]
6	4	0x60243370	800	0.000827	7.376295	[]
6	4	0x60243690	16	0.000828	0.147378	[]
6	4	0x602436b8	4	0.000630	0.048407	[]
6	4	0x602436bc	12	0.000581	0.157530	[]
