x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002230	0.246358	[]
4	4	0x60243330	12	0.000938	0.097642	[]
4	4	0x6024333c	108	0.000921	0.894496	[]
4	4	0x602433a8	12	0.001079	0.084866	[]
4	4	0x602433b4	24	0.000842	0.217517	[]
4	4	0x602433ec	132	0.000828	1.215796	[]
4	4	0x602434c8	4	0.000814	0.037485	[]
4	4	0x602434cc	8	0.000859	0.071044	[]
4	4	0x602434d4	4	0.001168	0.026129	[]
4	4	0x602434ec	24	0.000826	0.221811	[]
4	4	0x60243504	12	0.000859	0.106617	[]
4	4	0x60243518	72	0.000855	0.642360	[]
4	4	0x60243560	12	0.000810	0.113097	[]
4	4	0x6024356c	108	0.000816	1.009420	[]
4	4	0x602435d8	12	0.001001	0.091426	[]
4	4	0x602435e4	24	0.000773	0.236769	[]
4	4	0x6024361c	132	0.000888	1.133883	[]
4	4	0x602436f8	4	0.001000	0.030520	[]
4	4	0x602436fc	8	0.000782	0.078041	[]
4	4	0x60243704	4	0.000812	0.037565	[]
4	4	0x6024371c	24	0.000907	0.201774	[]
4	4	0x60243734	12	0.000865	0.105845	[]
4	4	0x60243748	72	0.000761	0.722080	[]
4	4	0x60243790	12	0.000891	0.102696	[]
4	4	0x6024379c	84	0.000777	0.824585	[]
4	4	0x602437f0	12	0.000793	0.115403	[]
4	4	0x602437fc	24	0.000948	0.193076	[]
4	4	0x60243834	132	0.001448	0.695435	[]
4	4	0x60243910	4	0.001004	0.030408	[]
4	4	0x60243914	8	0.000884	0.069062	[]
4	4	0x6024391c	4	0.000764	0.039920	[]
4	4	0x60243934	24	0.000916	0.199845	[]
4	4	0x6024394c	12	0.000738	0.124042	[]
4	4	0x60243960	72	0.000763	0.720167	[]
4	4	0x602439a8	12	0.000935	0.097932	[]
4	4	0x602439b4	116	0.000713	1.241366	[]
4	4	0x60243a28	12	0.000732	0.124989	[]
4	4	0x60243a34	24	0.000718	0.254953	[]
4	4	0x60243a6c	132	0.000695	1.449115	[]
4	4	0x60243b48	4	0.000723	0.042218	[]
4	4	0x60243b4c	8	0.000729	0.083728	[]
4	4	0x60243b54	4	0.000720	0.042389	[]
4	4	0x60243b6c	24	0.000712	0.257225	[]
4	4	0x60243b84	12	0.000722	0.126780	[]
4	4	0x60243b98	72	0.000683	0.804210	[]
4	4	0x60243be0	12	0.000722	0.126768	[]
4	4	0x60243bec	108	0.000698	1.179967	[]
4	4	0x60243c58	16	0.000769	0.158765	[]
4	4	0x60243c68	24	0.000955	0.191653	[]
4	4	0x60243ca0	132	0.000966	1.042772	[]
4	4	0x60243d7c	4	0.001018	0.029972	[]
4	4	0x60243d80	8	0.001004	0.060804	[]
4	4	0x60243d88	4	0.000897	0.034032	[]
4	4	0x60243da0	24	0.000889	0.205941	[]
4	4	0x60243db8	12	0.000869	0.105364	[]
4	4	0x60243dcc	72	0.000785	0.699527	[]
4	4	0x60243e14	12	0.000722	0.126798	[]
4	4	0x60243e20	100	0.001096	0.696023	[]
4	4	0x60243e84	12	0.001096	0.083529	[]
4	4	0x60243e90	24	0.000789	0.231944	[]
4	4	0x60243ec8	132	0.000700	1.438363	[]
4	4	0x60243fa4	4	0.000690	0.044256	[]
4	4	0x60243fa8	8	0.000743	0.082173	[]
4	4	0x60243fb0	4	0.000698	0.043700	[]
4	4	0x60243fc8	24	0.000664	0.275968	[]
4	4	0x60243fe0	12	0.000664	0.137903	[]
4	4	0x60243ff4	72	0.000975	0.563641	[]
4	4	0x6024403c	12	0.000899	0.101879	[]
4	4	0x60244048	96	0.000924	0.793015	[]
4	4	0x602440a8	12	0.000830	0.110317	[]
4	4	0x602440b4	24	0.000685	0.267383	[]
4	4	0x602440ec	132	0.000774	1.300678	[]
4	4	0x602441c8	4	0.000793	0.038507	[]
4	4	0x602441cc	8	0.000705	0.086558	[]
4	4	0x602441d4	4	0.000673	0.045347	[]
4	4	0x602441ec	24	0.000669	0.273661	[]
4	4	0x60244204	12	0.000701	0.130696	[]
4	4	0x60244218	72	0.000847	0.648757	[]
4	4	0x60244260	12	0.000635	0.144070	[]
4	4	0x6024426c	112	0.000605	1.411826	[]
4	4	0x602442dc	12	0.000624	0.146666	[]
4	4	0x602442e8	24	0.000738	0.248089	[]
4	4	0x60244320	132	0.000728	1.382721	[]
4	4	0x602443fc	4	0.000673	0.045315	[]
4	4	0x60244400	8	0.000656	0.093032	[]
4	4	0x60244408	4	0.000860	0.035501	[]
4	4	0x60244420	24	0.000664	0.275570	[]
4	4	0x60244438	12	0.000604	0.151603	[]
4	4	0x6024444c	72	0.002018	0.272263	[]
4	4	0x60244494	12	0.000783	0.116959	[]
4	4	0x602444a0	104	0.000641	1.237063	[]
4	4	0x60244508	12	0.000620	0.147675	[]
4	4	0x60244514	24	0.000565	0.323795	[]
4	4	0x6024454c	132	0.000556	1.811236	[]
4	4	0x60244628	4	0.000506	0.060298	[]
4	4	0x6024462c	8	0.000569	0.107328	[]
4	4	0x60244634	4	0.000528	0.057789	[]
4	4	0x6024464c	24	0.000541	0.338484	[]
4	4	0x60244664	12	0.000535	0.171008	[]
4	4	0x60244678	72	0.000618	0.889460	[]
4	4	0x602446c0	12	0.000618	0.148148	[]
4	4	0x602446cc	52	0.000580	0.683956	[]
4	4	0x60244700	16	0.000584	0.209024	[]
