x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.003085	0.178052	[]
4	4	0x60243330	12	0.001238	0.073931	[]
4	4	0x6024333c	17444	0.010881	12.231179	[]
4	4	0x60247760	12	0.001005	0.091129	[]
4	4	0x6024776c	64	0.000974	0.501229	[]
4	4	0x602785ac	1140	0.001570	5.540973	[]
4	4	0x60278a78	4	0.000981	0.031119	[]
4	4	0x60278a7c	936	0.001345	5.309611	[]
4	4	0x60278e44	4	0.000887	0.034414	[]
4	4	0x60278e48	4	0.000939	0.032495	[]
4	4	0x60278f74	24	0.001905	0.096116	[]
4	4	0x60278f8c	68	0.000958	0.541550	[]
5	4	0x602432e8	72	0.001024	0.536447	[]
5	4	0x60243330	12	0.000936	0.097778	[]
5	4	0x6024333c	17444	0.009084	14.651085	[]
5	4	0x60247760	12	0.000915	0.100100	[]
5	4	0x6024776c	64	0.000888	0.550119	[]
5	4	0x602785ac	1140	0.001382	6.292098	[]
5	4	0x60278a78	4	0.000911	0.033495	[]
5	4	0x60278a7c	936	0.001249	5.719525	[]
5	4	0x60278e44	4	0.000912	0.033467	[]
5	4	0x60278e48	4	0.000857	0.035593	[]
5	4	0x60278f74	24	0.000825	0.221873	[]
5	4	0x60278f8c	68	0.005785	0.089682	[]
5	5	0x602432e8	72	0.001264	0.434453	[]
5	5	0x60243330	12	0.000891	0.102712	[]
5	5	0x6024333c	17444	0.006274	21.212629	[]
5	5	0x60247760	12	0.000837	0.109417	[]
5	5	0x6024776c	64	0.000746	0.654946	[]
5	5	0x602785ac	1140	0.001109	7.844152	[]
5	5	0x60278a78	4	0.000795	0.038380	[]
5	5	0x60278a7c	936	0.001166	6.122185	[]
5	5	0x60278e44	4	0.000864	0.035323	[]
5	5	0x60278e48	4	0.000669	0.045641	[]
5	5	0x60278f74	24	0.000787	0.232769	[]
5	5	0x60278f8c	68	0.000674	0.769888	[]
4	5	0x602432e8	72	0.000923	0.594908	[]
4	5	0x60243330	12	0.000703	0.130290	[]
4	5	0x6024333c	17444	0.005189	25.647558	[]
4	5	0x60247760	12	0.000838	0.109274	[]
4	5	0x6024776c	64	0.000681	0.717531	[]
4	5	0x602785ac	1140	0.000876	9.924597	[]
4	5	0x60278a78	4	0.000596	0.051170	[]
4	5	0x60278a7c	936	0.000857	8.329703	[]
4	5	0x60278e44	4	0.000571	0.053427	[]
4	5	0x60278e48	4	0.000554	0.055092	[]
4	5	0x60278f74	24	0.000549	0.333408	[]
4	5	0x60278f8c	68	0.000594	0.873188	[]
3	4	0x602432e8	72	0.000700	0.785229	[]
3	4	0x60243330	12	0.000554	0.165286	[]
3	4	0x6024333c	17444	0.005346	24.893368	[]
3	4	0x60247760	12	0.000636	0.143941	[]
3	4	0x6024776c	64	0.000571	0.854919	[]
3	4	0x6027695c	1140	0.000772	11.261405	[]
3	4	0x60276e28	4	0.000497	0.061446	[]
3	4	0x60276e2c	936	0.000700	10.202435	[]
3	4	0x602771f4	4	0.000503	0.060717	[]
3	4	0x602771f8	4	0.000470	0.064975	[]
3	4	0x60277324	24	0.000478	0.382716	[]
3	4	0x6027733c	68	0.000498	1.041137	[]
3	3	0x602432e8	72	0.000585	0.939041	[]
3	3	0x60243330	12	0.000554	0.165155	[]
3	3	0x6024333c	12004	0.003247	28.208904	[]
3	3	0x60246220	12	0.000835	0.109678	[]
3	3	0x6024622c	64	0.000536	0.911127	[]
3	3	0x6026ff7c	820	0.000729	8.583810	[]
3	3	0x60270308	4	0.000514	0.059405	[]
3	3	0x6027030c	936	0.000762	9.375674	[]
3	3	0x602706d4	4	0.000505	0.060430	[]
3	3	0x602706d8	4	0.000497	0.061346	[]
3	3	0x60270804	24	0.000570	0.321390	[]
3	3	0x6027081c	68	0.000524	0.990755	[]
4	3	0x602432e8	72	0.000578	0.950443	[]
4	3	0x60243330	12	0.000561	0.163205	[]
4	3	0x6024333c	3028	0.001154	20.027487	[]
4	3	0x60243f10	12	0.000484	0.189088	[]
4	3	0x60243f1c	64	0.000491	0.994795	[]
4	3	0x6025c28c	292	0.000593	3.758329	[]
4	3	0x6025c408	4	0.000494	0.061791	[]
4	3	0x6025c40c	936	0.000738	9.673592	[]
4	3	0x6025c7d4	4	0.000500	0.061025	[]
4	3	0x6025c7d8	4	0.000521	0.058602	[]
4	3	0x6025c904	24	0.000530	0.345494	[]
4	3	0x6025c91c	68	0.000531	0.977291	[]
6	4	0x602432e8	72	0.000541	1.014467	[]
6	4	0x60243330	12	0.000535	0.171143	[]
6	4	0x6024333c	52	0.000560	0.708020	[]
6	4	0x60243370	800	0.001376	4.434718	[]
6	4	0x60243690	16	0.000698	0.174800	[]
6	4	0x602436b8	4	0.000525	0.058078	[]
6	4	0x602436bc	12	0.000487	0.187820	[]
