x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002878	0.190893	[]
4	4	0x60243330	12	0.001137	0.080545	[]
4	4	0x6024333c	52	0.000994	0.399058	[]
4	4	0x60243370	16	0.001056	0.115549	[]
4	4	0x6055464c	72	0.001249	0.439742	[]
4	4	0x60554694	12	0.000986	0.092881	[]
4	4	0x605546a0	6836	0.004700	11.097759	[]
4	4	0x60556154	12	0.000900	0.101708	[]
4	4	0x60556160	44	0.000910	0.368791	[]
4	4	0x6055618c	4800	0.003679	9.955225	[]
4	4	0x60557a9c	516	0.001092	3.606106	[]
4	4	0x60557cf8	4	0.000907	0.033656	[]
4	4	0x60557cfc	404	0.000978	3.150744	[]
4	4	0x60557e90	4	0.000880	0.034682	[]
4	4	0x60557ed0	24	0.000797	0.229778	[]
4	4	0x60557ee8	20	0.000979	0.155889	[]
