x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.004383	0.125316	[]
4	4	0x60243330	12	0.013897	0.006588	[]
4	4	0x6024333c	52	0.001658	0.239215	[]
4	4	0x60243370	16	0.001376	0.088730	[]
4	4	0x603ac4cc	72	0.001536	0.357681	[]
4	4	0x603ac514	12	0.001414	0.064735	[]
4	4	0x603ac520	6836	0.006794	7.676832	[]
4	4	0x603adfd4	12	0.017540	0.005220	[]
4	4	0x603adfe0	72	0.001429	0.384368	[]
4	4	0x603ae028	8400	0.015349	4.175414	[]
4	4	0x603b0748	516	0.001969	1.999639	[]
4	4	0x603b09a4	4	0.001205	0.025326	[]
4	4	0x603b09a8	404	0.001581	1.949615	[]
4	4	0x603b0b3c	4	0.003842	0.007942	[]
4	4	0x603b0bb4	24	0.012624	0.014505	[]
4	4	0x603b0bcc	36	0.001517	0.181055	[]
4	4	0x603b0bf8	72	0.001436	0.382589	[]
4	4	0x603b0c40	12	0.012757	0.007177	[]
4	4	0x603b0c4c	6836	0.005923	8.804994	[]
4	4	0x603b2700	12	0.001187	0.077117	[]
4	4	0x603b270c	40	0.000973	0.313797	[]
4	4	0x603b33c4	516	0.001149	3.426422	[]
4	4	0x603b3620	4	0.011903	0.002564	[]
4	4	0x603b3624	804	0.002187	2.805005	[]
4	4	0x603b3948	4	0.001272	0.023989	[]
4	4	0x603b3988	24	0.001044	0.175434	[]
4	4	0x603b39a0	20	0.001013	0.150562	[]
4	4	0x603b39bc	72	0.011523	0.047672	[]
4	4	0x603b3a04	12	0.004327	0.021159	[]
4	4	0x603b3a10	48	0.001286	0.284864	[]
4	4	0x603b3a88	12	0.018522	0.004943	[]
