x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.003048	0.180207	[]
4	4	0x60243330	12	0.001191	0.076844	[]
4	4	0x6024333c	52	0.001003	0.395587	[]
4	4	0x60243370	16	0.000990	0.123283	[]
4	4	0x60620f80	72	0.001131	0.485478	[]
4	4	0x60620fc8	12	0.001139	0.080386	[]
4	4	0x60620fd4	6836	0.004919	10.601777	[]
4	4	0x60622a88	12	0.001005	0.091109	[]
4	4	0x60622a94	24	0.001054	0.173703	[]
4	4	0x606230fc	516	0.001094	3.597068	[]
4	4	0x60623358	4	0.000902	0.033816	[]
4	4	0x6062335c	404	0.001070	2.879853	[]
4	4	0x606234f0	4	0.000938	0.032540	[]
4	4	0x60623514	24	0.000860	0.212791	[]
4	4	0x6062352c	12	0.001422	0.064386	[]
